Umuahia,6320,3727300
Yola,36917,4248400
Uyo,7081,5482200
Awka,4844,5527800
Bauchi,45837,6537300
Yenagoa,10773,2278000
Makurdi,34059,5741800
Maiduguri,70898,5860200
Calabar,20156,3866300
Asaba,17698,5663400
Abakaliki,5670,2880400
Benin City,17802,4235600
Ado Ekiti,6353,3270800
Enugu,7161,4411100
Abuja,7315,3564100
Gombe,18768,3257000
Owerri,5530,5408800
Dutse,23154,5828200
Kaduna,46053,8252400
Kano,20131,13076900
Katsina,24192,7831300
Birnin Kebbi,36800,4440000
Lokoja,29833,4473500
Ilorin,36825,3192900
Ikeja,3345,12550600
Lafia,27117,2523400
Minna,76363,5556200
Abeokuta,16762,5217700
Akure,14606,4671700
Oshogbo,9251,4705600
Ibadan,28454,7840900
Jos,30913,4200400
Port Harcourt,11077,7303900
Sokoto,25973,4998100
Jalingo,54473,3066800
Damaturu,45502,3294100
Gusau,39762,45154
